route_id,period,frequency,buses_assigned
203,midday,2,3
203,PM_peak,3,5
203,evening,2,3
203-NGT,early_morning,2,3
203-NGT,AM_peak,3,5
203-NGT,midday,2,3
203-NGT,PM_peak,3,5
203-NGT,evening,2,3
203P,early_morning,2,4
203P,AM_peak,3,6
203P,midday,2,4
203P,PM_peak,3,6
203P,evening,2,4
204,early_morning,1,4
204,AM_peak,1,4
204,midday,1,4
204,PM_peak,1,4
204,evening,1,4
205,early_morning,1,4
205,AM_peak,1,4
205,midday,1,4
205,PM_peak,1,4
205,evening,1,4
206,early_morning,1,4
206,AM_peak,1,4
206,midday,1,4
206,PM_peak,1,4
206,evening,1,4
207A,early_morning,1,3
207A,AM_peak,1,3
207A,midday,1,3
207A,PM_peak,1,3
207A,evening,1,3
207,early_morning,1,4
207,AM_peak,1,4
207,midday,1,4
207,PM_peak,1,4
207,evening,1,4
208A,early_morning,1,4
208A,AM_peak,1,4
208A,midday,1,4
208A,PM_peak,1,4
208A,evening,1,4
208,early_morning,1,5
208,AM_peak,1,5
208,midday,1,5
208,PM_peak,1,5
208,evening,1,5
20A,early_morning,2,2
20A,AM_peak,2,2
20A,midday,2,2
20A,PM_peak,2,2
20A,evening,4,3
20B,early_morning,2,3
20B,AM_peak,2,3
20B,midday,2,3
20B,PM_peak,2,3
20B,evening,2,3
20,early_morning,2,3
20,AM_peak,3,5
20,midday,2,3
20,PM_peak,3,5
20,evening,2,3
213,early_morning,1,3
213,AM_peak,3,9
213,midday,1,3
213,PM_peak,3,9
213,evening,1,3
215A,early_morning,2,3
215A,AM_peak,2,3
215A,midday,2,3
215A,PM_peak,2,3
215A,evening,2,3
215,early_morning,2,3
215,AM_peak,2,3
215,midday,2,3
215,PM_peak,2,3
215,evening,2,3
216A,early_morning,2,2
216A,AM_peak,2,2
216A,midday,2,2
216A,PM_peak,2,2
216A,evening,2,2
216B,early_morning,2,5
216B,AM_peak,1,3
216B,midday,2,5
216B,PM_peak,1,3
216B,evening,2,5
216C,early_morning,2,2
216C,AM_peak,2,2
216C,midday,2,2
216C,PM_peak,2,2
216C,evening,2,2
216-R,early_morning,2,4
216-R,AM_peak,1,2
216-R,midday,2,4
216-R,PM_peak,1,2
216-R,evening,2,4
217A,early_morning,3,2
217A,AM_peak,3,2
217A,midday,3,2
217A,PM_peak,3,2
217A,evening,3,2
217B,early_morning,3,4
217B,AM_peak,2,3
217B,midday,3,4
217B,PM_peak,2,3
217B,evening,3,4
217,early_morning,2,2
217,AM_peak,2,2
217,midday,2,2
217,PM_peak,2,2
217,evening,2,2
218,early_morning,1,3
218,AM_peak,1,3
218,midday,1,3
218,PM_peak,1,3
218,evening,1,3
21A,early_morning,2,3
21A,AM_peak,2,3
21A,midday,2,3
21A,PM_peak,2,3
21A,evening,2,3
21B,early_morning,2,4
21B,AM_peak,1,2
21B,midday,2,4
21B,PM_peak,1,2
21B,evening,2,4
21,early_morning,1,3
21,AM_peak,1,3
21,midday,1,3
21,PM_peak,1,3
21,evening,1,3
21N,early_morning,2,4
21N,AM_peak,1,2
21N,midday,1,2
21N,PM_peak,1,2
21N,evening,2,4
226,early_morning,2,5
226,AM_peak,3,7
226,midday,2,5
226,PM_peak,3,7
226,evening,2,5
227A,early_morning,2,3
227A,AM_peak,2,3
227A,midday,2,3
227A,PM_peak,2,3
227A,evening,2,3
227,early_morning,1,4
227,AM_peak,1,4
227,midday,1,4
227,PM_peak,1,4
227,evening,1,4
22A,early_morning,2,3
22A,AM_peak,2,3
22A,midday,2,3
22A,PM_peak,2,3
22A,evening,2,3
22,early_morning,3,4
22,AM_peak,2,3
22,midday,3,4
22,PM_peak,2,3
22,evening,3,4
230,early_morning,2,3
230,AM_peak,3,5
230,midday,2,3
230,PM_peak,3,5
230,evening,2,3
233,early_morning,1,5
233,AM_peak,1,5
233,midday,1,5
233,PM_peak,1,5
233,evening,1,5
234,early_morning,2,4
234,AM_peak,1,2
234,midday,2,4
234,PM_peak,1,2
234,evening,2,4
235,early_morning,1,3
235,AM_peak,1,3
235,midday,1,3
235,PM_peak,1,3
235,evening,1,3
236,early_morning,2,4
236,AM_peak,1,2
236,midday,2,4
236,PM_peak,1,2
236,evening,2,4
237,early_morning,1,4
237,AM_peak,1,4
237,midday,1,4
237,PM_peak,1,4
237,evening,1,4
23,early_morning,2,3
23,AM_peak,3,5
23,midday,2,3
23,PM_peak,3,5
23,evening,2,3
24A,early_morning,2,5
24A,AM_peak,1,3
24A,midday,2,5
24A,PM_peak,1,3
24A,evening,2,5
24B,early_morning,1,3
24B,AM_peak,1,3
24B,midday,1,3
24B,PM_peak,1,3
24B,evening,1,3
24,early_morning,2,5
24,AM_peak,1,3
24,midday,2,5
24,PM_peak,1,3
24,evening,2,5
24-NGT,early_morning,2,3
24-NGT,AM_peak,3,5
24-NGT,midday,2,3
24-NGT,PM_peak,3,5
24-NGT,evening,2,3
252A,early_morning,2,4
252A,AM_peak,3,5
252A,midday,2,4
252A,PM_peak,3,5
252A,evening,2,4
252,early_morning,1,3
252,AM_peak,1,3
252,midday,1,3
252,PM_peak,1,3
252,evening,1,3
256B,early_morning,2,4
256B,AM_peak,1,2
256B,midday,2,4
256B,PM_peak,1,2
256B,evening,2,4
256,early_morning,2,4
256,AM_peak,1,2
256,midday,2,4
256,PM_peak,1,2
256,evening,2,4
256S,early_morning,2,3
256S,AM_peak,2,3
256S,midday,2,3
256S,PM_peak,2,3
256S,evening,2,3
257,early_morning,1,4
257,AM_peak,1,4
257,midday,1,4
257,PM_peak,1,4
257,evening,1,4
262A,early_morning,2,4
262A,AM_peak,1,2
262A,midday,3,5
262A,PM_peak,1,2
262A,evening,2,4
262,early_morning,1,4
262,AM_peak,1,4
262,midday,1,4
262,PM_peak,1,4
262,evening,1,4
264,early_morning,1,5
264,AM_peak,1,5
264,midday,1,5
264,PM_peak,1,5
264,evening,1,5
26,early_morning,2,3
26,AM_peak,2,3
26,midday,2,3
26,PM_peak,2,3
26,evening,2,3
276,early_morning,1,4
276,AM_peak,1,4
276,midday,1,4
276,PM_peak,1,4
276,evening,1,4
277A,early_morning,2,3
277A,AM_peak,2,3
277A,midday,2,3
277A,PM_peak,2,3
277A,evening,2,3
277,early_morning,2,7
277,AM_peak,1,4
277,midday,2,7
277,PM_peak,1,4
277,evening,2,7
279A,early_morning,1,4
279A,AM_peak,1,4
279A,midday,1,4
279A,PM_peak,1,4
279A,evening,1,4
279B,early_morning,2,2
279B,AM_peak,2,2
279B,midday,2,2
279B,PM_peak,2,2
279B,evening,2,2
279,early_morning,1,5
279,AM_peak,1,5
279,midday,1,5
279,PM_peak,1,5
279,evening,1,5
27,early_morning,2,3
27,AM_peak,2,3
27,midday,2,3
27,PM_peak,2,3
27,evening,2,3
280,early_morning,3,4
280,AM_peak,2,3
280,midday,2,3
280,PM_peak,2,3
280,evening,3,4
281,early_morning,2,7
281,AM_peak,1,4
281,midday,2,7
281,PM_peak,1,4
281,evening,2,7
282,early_morning,1,4
282,AM_peak,1,4
282,midday,1,4
282,PM_peak,1,4
282,evening,1,4
283,early_morning,2,4
283,AM_peak,3,5
283,midday,2,4
283,PM_peak,3,5
283,evening,2,4
284,early_morning,1,4
284,AM_peak,1,4
284,midday,1,4
284,PM_peak,1,4
284,evening,1,4
286,early_morning,2,5
286,AM_peak,1,3
286,midday,2,5
286,PM_peak,1,3
286,evening,2,5
28,early_morning,2,3
28,AM_peak,2,3
28,midday,2,3
28,PM_peak,2,3
28,evening,2,3
290A,early_morning,4,2
290A,AM_peak,2,1
290A,midday,4,2
290A,PM_peak,2,1
290A,evening,4,2
290,early_morning,2,4
290,AM_peak,1,2
290,midday,2,4
290,PM_peak,1,2
290,evening,2,4
291A,early_morning,2,5
291A,AM_peak,1,3
291A,midday,2,5
291A,PM_peak,1,3
291A,evening,2,5
291,early_morning,2,4
291,AM_peak,1,2
291,midday,2,4
291,PM_peak,1,2
291,evening,2,4
292A,early_morning,1,5
292A,AM_peak,1,5
